# of clients,CPU usage (%),Memory usage (bytes)
0,0,41828352
1,0.447619048,35131392
2,6.2,35520512
3,0,35348480
4,0,35942400
5,0,35614720
6,3.1,36077568
7,0,36679680
8,0,37486592
9,0,38723584
10,4.7,39194624
11,0,39948288
12,0,40173568
13,0,40366080
14,4.7,40460288
15,0,40583168
16,0,40808448
17,0,40857600
18,3.1,40906752
19,0,41041920
20,0,41160704
21,0,41164800
22,1.5,41459712
23,0,41779200
24,0,43024384
25,0,43671552
26,0,43782144
27,0,45027328
28,0,46125056
29,0,46149632
30,0,46194688
31,0,46329856
32,0,46448640
33,0,46665728
34,1.6,46931968
35,0,47017984
36,0,47083520
37,0,47378432
38,0,47484928
39,0,47534080
40,0,47587328
41,0,47656960
42,3.1,47738880
43,0,47755264
44,0,47775744
45,0,47624192
46,0,47652864
47,0,47689728
48,0,47902720
49,0,47902720
50,0,47984640
51,0,48443392
52,0,48463872
53,0,48488448
54,0,48500736
55,3.1,49692672
56,0,50905088
57,0,52121600
58,0,52764672
59,0,52793344
60,0,52822016
61,0,53583872
62,0,54816768
63,0,56061952
64,3.1,57253888
65,0,57290752
66,0,57331712
67,0,57520128
68,1.6,57561088
69,0,57622528
70,0,57868288
71,0,57905152
72,3.1,57946112
73,0,57950208
74,0,58064896
75,0,58101760
76,1.5,58146816
77,0,58462208
78,0,58286080
79,0,58392576
80,0,58437632
81,0,58552320
82,0,58691584
83,0,59092992
84,3.1,59011072
85,0,59043840
86,0,59092992
87,0,59133952
88,0,59199488
89,0,59252736
90,0,59121664
91,0,58929152
92,0,59031552
93,1.6,59072512
94,0,59113472
95,0,59285504
96,0,59219968
97,1.5,59260928
98,0,59293696
99,0,59318272
100,0,59379712
101,0,59424768
102,0,59469824
103,0,59547648
104,0,59596800
105,0,59695104
106,3.2,59744256
107,0,59777024
108,0,59822080
109,0,59904000
110,0,59944960
111,0,60014592
112,0,60047360
113,0,60108800
114,0,60141568
115,0,60313600
116,0,60354560
117,0,60411904
118,1.6,60452864
119,0,60502016
120,0,60555264
121,0,60661760
122,0,61480960
123,0,62771200
124,0,64065536
125,0,65347584
126,0,66633728
127,3.2,67932160
128,0,68460544
129,0,68534272
130,0,68603904
131,3.1,68673536
132,0,68722688
133,0,68800512
134,0,69754880
135,0,70918144
136,1.6,72220672
137,0,73523200
138,0,74862592
139,0,76226560
140,0,77246464
141,0,77434880
142,0,77463552
143,0,77500416
144,1.5,77533184
145,0,77561856
146,0,77635584
147,0,77660160
148,0,77746176
149,0,77819904
150,0,77918208
151,0,77975552
152,3.2,78258176
153,0,78299136
154,0,78393344
155,0,78446592
156,0,78442496
157,0,78458880
158,0,78544896
159,0,78622720
160,0,78688256
161,3.1,78725120
162,0,78807040
163,0,78864384
164,0,79257600
165,0,79306752
166,3.2,79384576
167,0,79470592
168,0,79515648
169,0,79577088
170,1.6,79630336
171,0,79691776
172,0,79781888
173,0,79847424
174,0,79929344
175,0,79982592
176,0,80261120
177,0,80318464
178,0,80539648
179,3.1,80404480
180,0,80506880
181,0,80617472
182,0,80723968
183,1.6,80814080
184,0,80867328
185,0,80945152
186,0,81063936
187,1.5,81149952
188,0,81633280
189,0,81694720
190,0,81764352
191,3.1,81833984
192,0,81952768
193,0,82042880
194,0,81682432
195,0,81727488
196,0,81842176
197,0,81903616
198,0,81969152
199,0,82034688
200,0,82079744
201,0,82132992
202,0,82186240
203,0,82239488
204,1.5,82440192
205,0,82452480
206,0,81776640
207,0,81879040
208,0,81965056
209,1.6,82014208
210,0,82071552
211,0,82141184
212,0,82255872
213,3.1,82350080
214,0,82427904
215,0,82530304
216,0,82591744
217,3.1,82657280
218,0,82305024
219,0,82374656
220,0,82436096
221,3.1,82501632
222,0,82583552
223,0,82653184
224,0,82722816
225,0,82800640
226,4.7,82796544
227,0,82874368
228,0,82944000
229,0,83042304
230,6.2,83390464
231,0,83419136
232,0,83488768
233,0,83521536
234,4.7,83566592
235,0,83623936
236,0,83697664
237,0,83763200
238,0,83881984
239,0,83881984
240,0,83955712
241,0,83865600
242,0,83927040
243,0,84054016
244,0,84115456
245,0,84193280
246,0,84271104
247,3.2,84484096
248,0,84434944
249,0,84533248
250,0,84656128
251,1.6,84779008
252,0,85127168
253,0,85188608
254,0,85229568
255,1.6,85344256
256,0,85401600
257,0,85471232
258,0,85532672
259,1.5,85594112
260,0,85671936
261,0,85737472
262,0,85794816
263,0,85966848
264,3.1,86093824
265,0,86167552
266,0,86233088
267,0,86290432
268,4.6,86396928
269,0,86409216
270,0,86433792
271,0,86474752
272,6.2,86069248
273,0,86130688
274,0,86204416
275,1.5,86274048
276,0,86364160
277,0,86401024
278,0,86368256
279,1.5,86405120
280,0,86421504
281,0,86396928
282,0,86478848
283,1.6,86556672
284,0,86179840
285,0,86216704
286,0,85991424
287,3.1,86065152
288,0,86110208
289,0,86179840
290,0,86261760
291,0,86343680
292,0,86433792
293,0,86585344
294,0,86609920
295,0,86478848
296,0,86548480
297,0,86626304
298,0,86687744
299,0,86769664
300,0,86810624
301,0,87113728
302,0,87117824
303,0,87162880
304,1.5,87220224
305,0,87236608
306,0,87314432
307,0,87052288
308,0,87126016
309,0,87228416
310,0,87285760
311,0,87334912
312,0,87420928
313,0,87736320
314,0,87814144
315,0,88244224
316,1.6,88260608
317,0,87158784
318,0,87224320
319,0,87298048
320,1.6,87588864
321,0,87633920
322,0,87662592
323,0,87625728
324,0,87703552
325,0,87744512
326,0,87834624
327,0,87912448
328,3.2,87764992
329,0,87883776
330,0,87957504
331,0,88023040
332,1.5,88145920
333,0,88248320
334,0,88338432
335,0,88432640
336,4.7,88363008
337,0,88473600
338,0,88576000
339,0,88567808
340,0,88641536
341,0,88715264
342,3.1,88866816
343,0,88940544
344,0,89042944
345,0,89120768
346,3.2,89231360
347,0,89346048
348,0,89436160
349,0,88788992
350,0,88862720
351,0,88940544
352,3.1,89030656
353,0,89120768
354,0,89190400
355,0,89296896
356,0,89198592
357,0,89268224
358,0,89399296
359,0,89432064
360,0,88715264
361,0,88788992
362,0,88862720
363,0,88969216
364,0,89092096
365,0,89157632
366,0,89231360
367,0,89309184
368,0,89427968
369,0,89452544
370,0,89530368
371,0,89075712
372,0,89149440
373,0,89165824
374,0,89231360
375,3.1,89317376
376,0,89415680
377,0,89526272
378,0,89571328
379,4.6,89661440
380,0,89755648
381,0,90431488
382,1.6,89796608
383,0,89870336
384,0,89948160
385,0,90038272
386,0,90128384
387,0,90214400
388,0,90312704
389,1.6,90406912
390,0,90497024
391,0,90566656
392,0,90599424
393,0,91181056
394,1.6,91258880
395,0,91324416
396,0,91377664
397,0,91463680
398,1.6,91557888
399,0,91627520
400,0,91709440
401,0,91754496
402,0,91770880
403,0,91435008
404,0,91512832
405,0,91607040
406,0,91697152
407,0,92295168
408,0,92016640
409,0,92041216
410,0,92266496
411,1.5,92291072
412,0,92356608
413,0,92430336
414,0,92471296
415,3.1,92454912
416,0,92549120
417,0,92643328
418,0,92729344
419,1.5,92819456
420,0,92913664
421,0,93011968
422,0,93376512
423,1.5,93388800
424,0,93437952
425,0,93073408
426,0,93155328
427,0,93241344
428,0,93339648
429,0,93433856
430,0,93536256
431,1.6,93671424
432,0,93757440
433,0,93847552
434,0,93921280
435,0,94236672
436,0,93077504
437,0,93167616
438,0,93302784
439,1.6,93343744
440,0,93454336
441,0,93560832
442,0,93757440
443,3.2,93843456
444,0,93949952
445,0,94040064
446,0,93892608
447,0,93982720
448,3.1,94068736
449,0,94175232
450,0,94134272
451,0,94224384
452,4.6,94334976
453,0,94429184
454,0,94806016
455,0,94879744
456,0,94474240
457,0,94564352
458,0,94654464
459,0,94752768
460,0,94855168
461,0,94945280
462,0,95326208
463,0,95338496
464,0,95420416
465,0,95531008
466,0,95137792
467,0,95232000
468,0,95211520
469,1.6,95309824
470,0,95416320
471,0,95526912
472,0,95633408
473,1.6,95744000
474,0,95854592
475,0,96636928
476,0,96645120
477,0,95780864
478,0,95891456
479,0,96120832
480,0,96169984
481,0,96292864
482,0,96399360
483,0,96505856
484,0,96600064
485,0,96710656
486,1.6,96808960
487,0,96784384
488,0,96874496
489,0,96980992
490,3.1,97132544
491,0,97210368
492,0,97140736
493,0,97239040
494,0,97345536
495,0,97476608
496,0,96550912
497,0,96649216
498,1.5,96759808
499,0,96878592
500,0,96985088
501,0,97095680
502,3.2,97275904
503,0,97374208
504,0,97468416
505,0,97566720
506,3.1,96563200
507,0,96632832
508,0,96735232
509,0,96845824
510,0,96944128
511,0,97034240
512,0,97148928
513,0,97263616
514,3.1,97374208
515,0,97484800
516,0,97202176
517,0,97308672
518,0,97476608
519,0,97583104
520,0,97705984
521,0,98205696
522,4.7,98234368
523,0,98299904
524,0,98390016
525,0,98480128
526,0,97935360
527,0,97865728
528,0,98107392
529,0,98217984
530,1.6,98324480
531,0,98430976
532,0,98537472
533,0,98635776
534,0,98742272
535,0,98848768
536,0,98934784
537,0,98492416
538,0,98611200
539,0,98729984
540,0,98840576
541,0,98951168
542,0,99065856
543,1.6,99180544
544,0,99311616
545,0,99430400
546,0,99549184
547,1.5,99336192
548,0,99848192
549,0,99913728
550,0,99987456
551,0,100065280
552,0,100110336
553,0,100229120
554,0,100306944
555,0,100413440
556,3.2,100515840
557,0,99971072
558,0,101838848
559,0,101847040
560,4.8,101863424
561,0,101916672
562,0,101978112
563,0,102039552
564,0,102133760
565,0,102326272
566,0,102359040
567,0,100773888
568,1.6,102543360
569,0,102641664
570,0,102666240
571,0,102703104
572,0,102789120
573,7.9,100814848
574,0,100909056
575,0,101023744
576,0,101113856
577,0,101953536
578,0,101961728
579,0,101539840
580,0,101662720
581,1.5,101797888
582,0,102281216
583,0,100958208
584,0,101076992
585,1.6,101064704
586,0,101208064
587,0,101359616
588,0,101502976
589,0,101687296
590,0,101810176
591,0,101933056
592,0,102055936
593,1.6,101769216
594,0,101875712
595,0,101986304
596,0,102113280
597,0,102232064
598,1.6,102346752
